timestamp,price,number,color,colorseries,num_plus_color,num_times_color
20201001222,25455,5,green + violet,1,6,5
20201001223,25473,3,green,0,3,0
20201001224,25476,6,red,2,8,12
20201001225,25435,5,green + violet,1,6,5
20201001226,25496,6,red,2,8,12
20201001227,25445,5,green + violet,1,6,5
20201001228,25416,6,red,2,8,12
20201001229,25481,1,green,0,1,0
20201001230,25498,8,red,2,10,16
20201001231,25445,5,green + violet,1,6,5
20201001232,25422,2,red,2,4,4
20201001233,25429,9,green,0,9,0
20201001234,25425,5,green + violet,1,6,5
20201001235,25407,7,green,0,7,0
20201001236,25484,4,red,2,6,8
20201001237,25497,7,green,0,7,0
20201001238,25442,2,red,2,4,4
20201001239,25404,4,red,2,6,8
20201001240,25458,8,red,2,10,16
20201001241,25425,5,green + violet,1,6,5
20201001242,25424,4,red,2,6,8
20201001243,25405,5,green + violet,1,6,5
20201001244,25439,9,green,0,9,0
20201001245,25446,6,red,2,8,12
20201001246,25447,7,green,0,7,0
20201001247,25476,6,red,2,8,12
20201001248,25404,4,red,2,6,8
20201001249,25454,4,red,2,6,8
20201001250,25438,8,red,2,10,16
20201001251,25405,5,green + violet,1,6,5
20201001252,25486,6,red,2,8,12
20201001253,25462,2,red,2,4,4
20201001254,25432,2,red,2,4,4
20201001255,25492,2,red,2,4,4
20201001256,25478,8,red,2,10,16
20201001257,25409,9,green,0,9,0
20201001258,25406,6,red,2,8,12
20201001259,25452,2,red,2,4,4
20201001260,25413,3,green,0,3,0
20201001261,25468,8,red,2,10,16
20201001262,25404,4,red,2,6,8
20201001263,25412,2,red,2,4,4
20201001264,25471,1,green,0,1,0
20201001265,25486,6,red,2,8,12
20201001266,25420,0,red + violet,3,3,0
20201001267,25423,3,green,0,3,0
20201001268,25434,4,red,2,6,8
20201001269,25403,3,green,0,3,0
20201001270,25438,8,red,2,10,16
20201001271,25457,7,green,0,7,0
20201001272,25431,1,green,0,1,0
20201001273,25402,2,red,2,4,4
20201001274,25412,2,red,2,4,4
20201001275,25475,5,green + violet,1,6,5
20201001276,25496,6,red,2,8,12
20201001277,25472,2,red,2,4,4
20201001278,25468,8,red,2,10,16
20201001279,25451,1,green,0,1,0
20201001280,25481,1,green,0,1,0
20201001281,25439,9,green,0,9,0
20201001282,25452,2,red,2,4,4
20201001283,25448,8,red,2,10,16
20201001284,25451,1,green,0,1,0
20201001285,25437,7,green,0,7,0
20201001286,25463,3,green,0,3,0
20201001287,25404,4,red,2,6,8
20201001288,25481,1,green,0,1,0
20201001289,25430,0,red + violet,3,3,0
20201001290,25414,4,red,2,6,8
20201001291,25443,3,green,0,3,0
20201001292,25460,0,red + violet,3,3,0
20201001293,25446,6,red,2,8,12
20201001294,25498,8,red,2,10,16
20201001295,25423,3,green,0,3,0
20201001296,25454,4,red,2,6,8
20201001297,25467,7,green,0,7,0
20201001298,25464,4,red,2,6,8
20201001299,25433,3,green,0,3,0
20201001300,25426,6,red,2,8,12
20201001301,25409,9,green,0,9,0
20201001302,25404,4,red,2,6,8
20201001303,25435,5,green + violet,1,6,5
20201001304,25421,1,green,0,1,0
20201001305,25415,5,green + violet,1,6,5
20201001306,25494,4,red,2,6,8
20201001307,25486,6,red,2,8,12
20201001308,25412,2,red,2,4,4
20201001309,25434,4,red,2,6,8
20201001310,25479,9,green,0,9,0
20201001311,25488,8,red,2,10,16
20201001312,25441,1,green,0,1,0
20201001313,25407,7,green,0,7,0
20201001314,25464,4,red,2,6,8
20201001315,25499,9,green,0,9,0
20201001316,25486,6,red,2,8,12
20201001317,25428,8,red,2,10,16
20201001318,25476,6,red,2,8,12
20201001319,25446,6,red,2,8,12
20201001320,25469,9,green,0,9,0
20201001321,25484,4,red,2,6,8
20201001322,25401,1,green,0,1,0
20201001323,25486,6,red,2,8,12
20201001324,25448,8,red,2,10,16
20201001325,25496,6,red,2,8,12
20201001326,25421,1,green,0,1,0
20201001327,25499,9,green,0,9,0
20201001328,25490,0,red + violet,3,3,0
20201001329,25445,5,green + violet,1,6,5
20201001330,25433,3,green,0,3,0
20201001331,25409,9,green,0,9,0
20201001332,25408,8,red,2,10,16
20201001333,25404,4,red,2,6,8
20201001334,25440,0,red + violet,3,3,0
20201001335,25438,8,red,2,10,16
20201001336,25426,6,red,2,8,12
20201001337,25458,8,red,2,10,16
20201001338,25465,5,green + violet,1,6,5
20201001339,25413,3,green,0,3,0
20201001340,25485,5,green + violet,1,6,5
20201001341,25484,4,red,2,6,8
20201001342,25497,7,green,0,7,0
20201001343,25453,3,green,0,3,0
20201001344,25462,2,red,2,4,4
20201001345,25400,0,red + violet,3,3,0
20201001346,25413,3,green,0,3,0
20201001347,25455,5,green + violet,1,6,5
20201001348,25424,4,red,2,6,8
20201001349,25461,1,green,0,1,0
20201001350,25479,9,green,0,9,0
20201001351,25433,3,green,0,3,0
20201001352,25489,9,green,0,9,0
20201001353,25442,2,red,2,4,4
20201001354,25416,6,red,2,8,12
20201001355,25402,2,red,2,4,4
20201001356,25427,7,green,0,7,0
20201001357,25406,6,red,2,8,12
20201001358,25463,3,green,0,3,0
20201001359,25458,8,red,2,10,16
20201001360,25475,5,green + violet,1,6,5
20201001361,25441,1,green,0,1,0
20201001362,25424,4,red,2,6,8
20201001363,25460,0,red + violet,3,3,0
20201001364,25442,2,red,2,4,4
20201001365,25485,5,green + violet,1,6,5
20201001366,25456,6,red,2,8,12
20201001367,25482,2,red,2,4,4
20201001368,25421,1,green,0,1,0
20201001369,25450,0,red + violet,3,3,0
20201001370,25427,7,green,0,7,0
20201001371,25403,3,green,0,3,0
20201001372,25417,7,green,0,7,0
20201001373,25463,3,green,0,3,0
20201001374,25462,2,red,2,4,4
20201001375,25432,2,red,2,4,4
20201001376,25471,1,green,0,1,0
20201001377,25455,5,green + violet,1,6,5
20201001378,25432,2,red,2,4,4
20201001379,25494,4,red,2,6,8
20201001380,25446,6,red,2,8,12
20201001381,25441,1,green,0,1,0
20201001382,25456,6,red,2,8,12
20201001383,25404,4,red,2,6,8
20201001384,25494,4,red,2,6,8
20201001385,25445,5,green + violet,1,6,5
20201001386,25449,9,green,0,9,0
20201001387,25483,3,green,0,3,0
20201001388,25450,0,red + violet,3,3,0
20201001389,25428,8,red,2,10,16
